Protocolo,data,hora,natureza,situacao,bairro,endereco,numero,detalhe_endereco_acidente,complemento,bairro_cruzamento,num_semaforo,sentido_via,tipo,auto,moto,ciclom,ciclista,pedestre,onibus,caminhao,viatura,outros,vitimas,vitimasfatais,acidente_verificado,tempo_clima,situacao_semaforo,sinalizacao,condicao_via,conservacao_via,ponto_controle,situacao_placa,velocidade_max_via,mao_direcao,divisao_via1,divisao_via2,divisao_via3
202203022,2022-02-11,,COM VÍTIMA,FINALIZADA,SANTO AMARO,AV CRUZ CABUGA,,RUA FREI CASSIMIRO,ENFRENTE AO SENAI,SANTO AMARO,,,COLISÃO TRANSVERSAL,1,1,0,0,0,0,0,0,0,1,0,Cruzamento,Bom,Não existe,Não existente,Seca,Perfeito estado,Faixa de pedestre,Outras,,Dupla,Faixa contínua,Faixa seccionada,
202203045,2022-02-11,,COM VÍTIMA,CANCELADA,TORRÕES,AV ENGENHEIRO ABDIAS DE CARVALHO,,,ENFRENTE A DLP,TORRÕES,,,COLISÃO TRASEIRA,1,1,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,
202203049,2022-02-11,,COM VÍTIMA,FINALIZADA,IPSEP,AV RECIFE,3273,,AUTOPEÇAS JK,IPSEP,247,CIDADE,COLISÃO TRASEIRA,1,1,0,0,0,0,0,0,0,1,0,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Não há placas,60 km/h,Única,Canteiro central,,
202203050,2022-02-11,,SEM VÍTIMA,FINALIZADA,IPUTINGA,AV CAXANGA,3010,,ENFRENTE AO MERCADO EXTRA,IPUTINGA,,,COLISÃO LATERAL,1,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
202203054,2022-02-11,,COM VÍTIMA,FINALIZADA,SANTO AMARO,AV GOVERNADOR AGAMENON MAGALHAES,,,E/F AO POSTO BR,SANTO AMARO,,OLINDA,ATROPELAMENTO DE PESSOA,0,0,0,0,1,1,0,0,0,1,0,Longo da via,Bom,Não existe,Perfeito estado,Seca,,Não existe,Não há placas,60 km/h,Dupla,Faixa seccionada,Canal,
202203056,2022-02-11,,COM VÍTIMA,FINALIZADA,IBURA,AV DOIS RIOS,,,LADEIRA DA CHOAB,IBURA,,,COLISÃO FRONTAL,0,1,0,0,0,1,0,0,0,2,0,Longo da via,Bom,Não existe,Ilegível,Seca,Perfeito estado,Agente,Não há placas,60 km/h,Dupla,Não existe,,
202203057,2022-02-11,,SEM VÍTIMA,CANCELADA,AREIAS,AV RECIFE,,,E/F A FARMACIA PAGUE MENOS,AREIAS,,,COLISÃO TRASEIRA,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
202203059,2022-02-11,,COM VÍTIMA,FINALIZADA,APIPUCOS,AV DEZESSETE DE AGOSTO,1893,RUA MARQUES DE TAMANDARE,E/F AO BAR CHEFE,APIPUCOS,,,COLISÃO TRANSVERSAL,1,1,0,0,0,0,0,0,0,1,0,Cruzamento,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Não há placas,,Dupla,Faixa contínua,,
202203062,2022-02-12,,SEM VÍTIMA,FINALIZADA,ENCRUZILHADA,AV NORTE MIGUEL ARRAES DE ALENCAR,,RUA ALFREDO DE CASTRO,,ENCRUZILHADA,665,,COLISÃO TRANSVERSAL,2,0,0,0,0,0,0,0,0,0,0,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,,,Dupla,Canteiro central,,
202203066,2022-02-12,,COM VÍTIMA,FINALIZADA,ALTO SANTA TERESINHA,AV ANIBAL BENEVOLO,1585,,EM FRENTE AO COMPAZ,ALTO SANTA TERESINHA,,CIDADE,CHOQUE,2,1,0,0,0,0,0,0,0,2,0,Longo da via,Bom,Não existe,Incompleta,Seca,Mal conservada,Não existe,Não há placas,,Dupla,Não existe,,
202203067,2022-02-12,,SEM VÍTIMA,CANCELADA,VÁRZEA,AV CAXANGA,,,LADO OPOSTO A UPA DA CAXANGÁ,VÁRZEA,281,CIDADE,COLISÃO TRASEIRA,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
202203076,2022-02-12,,COM VÍTIMA,FINALIZADA,BOA VIAGEM,RUA ERNESTO DE PAULA SANTOS,,AV ENGENHEIRO DOMINGOS FERREIRA,EM FRENTE A LOJA  DE SAPATOS CONSTANCE,BOA VIAGEM,217,SUBURBIO,COLISÃO LATERAL,1,1,0,0,0,0,0,0,0,1,0,Longo da via,Chuvoso,Sem defeito,Perfeito estado,Molhada,Perfeito estado,Faixa de retenção,Não há placas,,Única,Faixa contínua,,
202203082,2022-02-12,,SEM VÍTIMA,CANCELADA,IMBIRIBEIRA,AV RECIFE,,,EM FRENTE AO SAL E BRASA  / SENT BOA VIAGEM,IMBIRIBEIRA,,,COLISÃO LATERAL,0,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
202203084,2022-02-12,,COM VÍTIMA,CANCELADA,DERBY,AV GOVERNADOR AGAMENON MAGALHAES,,,PROXIMO DO BANCO DO BRASIL / SENTIDO OLINDA,DERBY,,,COLISÃO LATERAL,1,1,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,
202203097,2022-02-12,,COM VÍTIMA,FINALIZADA,CASA AMARELA,AV NORTE MIGUEL ARRAES DE ALENCAR,,,EM FRENTE AO  NUCLEO DA DEVESA CIVIL,CASA AMARELA,676,,COLISÃO TRASEIRA,1,1,0,0,0,0,0,0,0,1,0,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,R-6a,,Dupla,Canteiro central,,
202203108,2022-02-12,,COM VÍTIMA,FINALIZADA,BOA VIAGEM,RUA SA E SOUZA,692,RUA IZABEL MAGALHAES,EM FRENTE AO EDIFICIO PRAIA DE ITAGUAÇÚ,BOA VIAGEM,,SUBURBIO,QUEDA,0,1,0,0,0,0,0,0,0,1,0,Cruzamento,Bom,Não existe,Não existente,Seca,Perfeito estado,Não existe,Não há placas,,Dupla,Faixa seccionada,,
202203116,2022-02-12,,COM VÍTIMA,CANCELADA,IMBIRIBEIRA,AV MARECHAL MASCARENHAS DE MORAES,,,NO SEMAFORO 290,IMBIRIBEIRA,,,COLISÃO TRASEIRA,1,1,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,
202203120,2022-02-12,,COM VÍTIMA,FINALIZADA,JOANA BEZERRA,VDO PAPA JOAO PAULO II,,,EM BAIXO DO VIADUTO JOANA BEZERRA AO LADO DA AACD,JOANA BEZERRA,,,COLISÃO FRONTAL,2,0,0,0,0,0,0,0,0,1,0,Longo da via,Bom,Não existe,Incompleta,,Mal conservada,Não existe,Não há placas,,,Não existe,,
202203133,2022-02-12,,COM VÍTIMA,FINALIZADA,ARRUDA,AV BEBERIBE,,AV PROFESSOR JOSE DOS ANJOS,E/F AO CAMPO DO ARRUDA,ARRUDA,,CIDADE,COLISÃO FRONTAL,1,1,0,0,0,0,0,0,0,2,0,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,,R-6a,,Dupla,Faixa contínua,,
202203149,2022-02-12,,COM VÍTIMA,FINALIZADA,TORRE,PTE DO VINTEM,,,EM CIMA DO VIADUTO,TORRE,,AV NORTE,COLISÃO LATERAL,1,1,0,0,0,0,0,0,0,1,0,Viaduto,Bom,Não existe,Não existente,Seca,Perfeito estado,Não existe,Não há placas,,Única,Canteiro central,,
202203172,2022-02-13,,COM VÍTIMA,FINALIZADA,PRADO,RUA RODRIGUES DE MENDONCA,45,RUA PANDIA CALOGERAS,ENFRENTE AO EDFICIO RENOIR,PRADO,,SUBURBIO,COLISÃO LATERAL,2,0,0,0,0,0,0,0,0,1,0,Cruzamento,Bom,Não existe,Incompleta,Seca,Perfeito estado,Faixa de pedestre,Não há placas,,Única,Faixa contínua,,
202203174,2022-02-13,,COM VÍTIMA,FINALIZADA,LINHA DO TIRO,RUA ELADIO CAMBOIM,251,RUA URIEL DE HOLANDA,PRÓX À PADARIA PÃO DE OURO,LINHA DO TIRO,,,ATROPELAMENTO DE PESSOA,0,1,0,0,1,0,0,0,0,1,0,Longo da via,Bom,Não existe,Não existente,Seca,Perfeito estado,Não existe,Não há placas,,Dupla,Não existe,,
202203180,2022-02-13,,COM VÍTIMA,CANCELADA,PINA,AV ANTONIO DE GOES,275,,CENTRO DIAGNÓTICO LUCILO ÁVILA,PINA,,,COLISÃO TRASEIRA,1,1,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,
202203182,2022-02-13,,SEM VÍTIMA,FINALIZADA,BOA VIAGEM,RUA BRUNO VELOSO,,AV ENGENHEIRO DOMINGOS FERREIRA,,BOA VIAGEM,,,COLISÃO LATERAL,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
202203183,2022-02-13,,COM VÍTIMA,FINALIZADA,CORDEIRO,AV CAXANGA,2555,AV INACIO MONTEIRO,ENFRENTE A DROGASIL,CORDEIRO,234,CIDADE,COLISÃO TRANSVERSAL,1,1,0,0,0,0,0,0,0,1,0,Cruzamento,Bom,Sem defeito,Incompleta,Seca,Perfeito estado,,R-6a,60 km/h,Dupla,Faixa contínua,Canteiro central,
202203190,2022-02-13,,COM VÍTIMA,FINALIZADA,JORDÃO,RUA ALBERTO LUNDGREN,83,RUA DR ALVARO FERRAZ,ENFRENTE AO BALAIO,JORDÃO,,,ATROPELAMENTO DE PESSOA,0,0,0,0,1,1,0,0,0,1,0,Cruzamento,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,R-6a,,Dupla,Faixa contínua,,
202203193,2022-02-13,,SEM VÍTIMA,FINALIZADA,IBURA,,31A,,EM FRENTE DROGARIAS IBURA,IBURA,,SUBURBIO,COLISÃO FRONTAL,1,0,0,0,0,0,0,1,0,0,0,Longo da via,Bom,Não existe,Não existente,Seca,Perfeito estado,Não existe,"Placas ""Pare""",40 km/h,Dupla,Não existe,,
202203199,2022-02-13,,COM VÍTIMA,CANCELADA,TEJIPIÓ,AV DR JOSE RUFINO,3254,,E/F AO 14  BATALHAO / SEMAFORO 208,TEJIPIÓ,,,COLISÃO TRASEIRA,1,1,0,1,0,0,0,0,0,1,0,,,,,,,,,,,,,
202203223,2022-02-14,,SEM VÍTIMA,FINALIZADA,CAXANGÁ,AV CAXANGA,,,IPUTINGA VEÍCULOS,CAXANGÁ,,SUBURBIO,COLISÃO FRONTAL,1,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,
202203225,2022-02-14,,SEM VÍTIMA,FINALIZADA,BOA VIAGEM,RUA RIO AZUL,99,,E/F AO ARMAZEM DE CONSTRUÇÃO,BOA VIAGEM,,SUBURBIO,,1,0,0,0,0,0,0,0,0,0,0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Não há placas,,Única,Faixa seccionada,,
202203243,2022-02-14,,COM VÍTIMA,FINALIZADA,CAMPINA DO BARRETO,RUA DOS PEIXINHOS,987,,EM FRENTE AO ORATÓRIO DA DIVINA PROVIDÊNCIA,CAMPINA DO BARRETO,,CIDADE,COLISÃO LATERAL,1,1,0,0,0,0,0,0,0,1,0,Longo da via,Bom,Não existe,Não existente,Seca,Perfeito estado,Não existe,Não há placas,,Dupla,Não existe,,
202203245,2022-02-14,,COM VÍTIMA,CANCELADA,ESPINHEIRO,RUA CONS PORTELA,,RUA QUARENTA E OITO,EM FRENTE AO BIGCAR,ESPINHEIRO,11,,COLISÃO LATERAL,1,1,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,
202203249,2022-02-14,,COM VÍTIMA,FINALIZADA,TEJIPIÓ,AV DR JOSE RUFINO,3795,,EM FRENTE A ESTAÇÃO TEJIPIO,TEJIPIÓ,,SUBURBIO,COLISÃO TRANSVERSAL,1,1,0,0,0,0,0,0,0,1,0,Longo da via,Bom,Não existe,Incompleta,Seca,Perfeito estado,Não existe,Não há placas,,Dupla,Faixa contínua,,
202203251,2022-02-14,,COM VÍTIMA,CANCELADA,PORTO DA MADEIRA,AV BEBERIBE,,,EM FRENTE AO COLEGIO NOVENTA GRAUS,PORTO DA MADEIRA,,,COLISÃO LATERAL,0,2,0,0,0,0,0,0,0,2,0,,,,,,,,,,,,,
202203311,2022-02-15,,COM VÍTIMA,FINALIZADA,TAMARINEIRA,AV NORTE MIGUEL ARRAES DE ALENCAR,,EST VELHA DE AGUA FRIA,PROXIMO A FERREIRA COSTA,TAMARINEIRA,62,CIDADE,COLISÃO TRASEIRA,0,2,0,0,0,0,0,0,0,1,0,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,R-6a,60 km/h,Dupla,Faixa contínua,,
202203313,2022-02-15,,COM VÍTIMA,FINALIZADA,ALTO JOSÉ BONIFÁCIO,RUA ALTO JOSE BONIFACIO,192,RUA CORREGO DO EUCLIDES,PROX. A RODINHA,ALTO JOSÉ BONIFÁCIO,,CIDADE,COLISÃO COM CICLISTA,0,1,0,1,0,0,0,0,0,1,0,Esquina,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Outras,,Dupla,Faixa contínua,Faixa seccionada,
202203330,2022-02-15,,COM VÍTIMA,FINALIZADA,ÁGUA FRIA,EST VELHA DE AGUA FRIA,727,,"ESPAÇO TAMARINEIRA,  JPK ENERGY",ÁGUA FRIA,,CIDADE,COLISÃO COM CICLISTA,0,1,0,1,0,0,0,0,0,1,0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,R-6a,60 km/h,Dupla,Faixa contínua,,
202203351,2022-02-15,,COM VÍTIMA,FINALIZADA,IPUTINGA,AV CAXANGA,,EST DO BARBALHO,PRÓX AO BIG BOMPREÇO E CACAU SHOW,IPUTINGA,533,,COLISÃO TRASEIRA,0,2,0,0,0,0,0,0,0,1,0,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Agente,R-26,60 km/h,Dupla,Canteiro central,,
202203357,2022-02-15,,SEM VÍTIMA,FINALIZADA,TOTÓ,RUA ONZE DE AGOSTO,687,,TERMINAL TOTO - JARDIM SÃO PAULO BOA VIAGEM SHOPPING RECIFE,TOTÓ,,,CHOQUE,1,0,0,0,0,1,0,0,0,0,0,,Bom,Não existe,Não existente,Seca,Perfeito estado,Não existe,Não há placas,,Dupla,Não existe,,
202203365,2022-02-15,,COM VÍTIMA,FINALIZADA,CORDEIRO,RUA DR MIGUEL VIEIRA FERREIRA,537,RUA SOROCABA,PROXIMO AO ARMAZEM CIA DA CONSTRUÇÃO,CORDEIRO,,CIDADE,ATROPELAMENTO DE PESSOA,1,0,0,0,1,0,0,0,0,1,0,Longo da via,Bom,Não existe,Incompleta,Seca,Perfeito estado,Não existe,R-19,30 km/h,,Não existe,,
202203371,2022-02-15,,SEM VÍTIMA,CANCELADA,IPUTINGA,RUA SAO MATEUS,266,,E/F A PADARIA MASSA PURA,IPUTINGA,,,COLISÃO LATERAL,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
202203374,2022-02-16,,SEM VÍTIMA,FINALIZADA,PASSARINHO,EST DE PASSARINHO,3413,,PRÓXIMO AO TERMINAL DE ÔNIBUS COMPLEMENTAR,PASSARINHO,,SUBURBIO,,1,0,0,0,0,0,0,1,0,0,0,Longo da via,Bom,Não existe,Não existente,Seca,Perfeito estado,Não existe,Não há placas,,Dupla,Não existe,,
202203389,2022-02-16,,COM VÍTIMA,FINALIZADA,PINA,RUA TOME GIBSON,,AVENIDA CELSO FURTADO (VIA MANGUE),PROX. AO AEROCLUB (SENT. PINA),PINA,,CIDADE,COLISÃO LATERAL,1,1,0,0,0,0,0,0,0,1,0,Longo da via,Chuvoso,Não existe,Perfeito estado,Molhada,Perfeito estado,Não existe,Não há placas,60 km/h,Única,Faixa seccionada,,
202203409,2022-02-16,,COM VÍTIMA,FINALIZADA,CURADO,BR 101 (DENTRO DA CEASA),,,EM FRENTE AO RC FRIOS E RESTAURANTE DO BIU,CURADO,,,COLISÃO FRONTAL,2,1,0,0,0,0,0,0,0,1,0,Longo da via,Bom,Não existe,Incompleta,Seca,Perfeito estado,Não existe,R-4b,,Única,Não existe,,
202203440,2022-02-16,,COM VÍTIMA,FINALIZADA,JARDIM SÃO PAULO,AV SAO PAULO,,,POR BAIXO DO VIADUTO WERNECK,JARDIM SÃO PAULO,,CIDADE,CHOQUE,1,0,0,0,0,0,0,0,0,1,0,Longo da via,Bom,Não existe,Incompleta,Seca,Perfeito estado,Não existe,Não há placas,,Dupla,Faixa seccionada,,
202203447,2022-02-17,,SEM VÍTIMA,FINALIZADA,PINA,AVENIDA CELSO FURTADO (VIA MANGUE),,,LADO OPOSTO POS TRÁS DA VIA MANGUE,PINA,,,CHOQUE,1,0,0,0,0,0,0,0,0,0,0,Longo da via,Chuvoso,Não existe,Perfeito estado,Molhada,Perfeito estado,Não existe,Não há placas,60 km/h,Dupla,Canteiro central,,
202203452,2022-02-17,,SEM VÍTIMA,FINALIZADA,BOA VIAGEM,AV ENGENHEIRO DOMINGOS FERREIRA,,RUA JOSE MARIA DE MIRANDA,SEMÁFORO 484,BOA VIAGEM,484,CIDADE,COLISÃO TRASEIRA,1,0,0,0,0,0,0,1,0,0,0,Cruzamento,Chuvoso,Sem defeito,Perfeito estado,Molhada,Perfeito estado,,Outras,,Dupla,Canteiro central,,
202203460,2022-02-17,,COM VÍTIMA,CANCELADA,CASA AMARELA,AV NORTE MIGUEL ARRAES DE ALENCAR,,,EM FRENTE AO ARMAZEM CORAL/ PROXIMO AO SESC DE CASA MARELA,CASA AMARELA,,CIDADE,QUEDA,0,1,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,
202203463,2022-02-17,,COM VÍTIMA,FINALIZADA,APIPUCOS,AV DEZESSETE DE AGOSTO,117,,"E/F A ESCOLA ESTADUAL SILVA JARDIM,  ED MEYER MESEL",APIPUCOS,,SUBURBIO,COLISÃO FRONTAL,2,1,0,0,0,0,0,0,0,1,0,Longo da via,Chuvoso,Não existe,Perfeito estado,Molhada,Perfeito estado,Não existe,,60 km/h,Dupla,Faixa contínua,,
202203480,2022-02-17,,COM VÍTIMA,FINALIZADA,BONGI,RUA ISAAC MARKMAN,46,RUA DONA MARIA AUGUSTA NOGUEIRA,EM FRENTE A SECRETARIA DE SAUDE /  TERMINAL DO BONGI,BONGI,,CIDADE,COLISÃO TRANSVERSAL,1,1,0,0,0,0,0,0,0,1,0,Cruzamento,Chuvoso,Não existe,Incompleta,Molhada,Mal conservada,Faixa de pedestre,Outras,30 km/h,Dupla,Faixa seccionada,,
202203484,2022-02-17,,COM VÍTIMA,DUPLICIDADE,CAXANGÁ,AV JOAQUIM RIBEIRO,,,EM FRENTE A UPA DA CAXANGA,CAXANGÁ,,,COLISÃO LATERAL,1,1,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,
202203487,2022-02-17,,COM VÍTIMA,FINALIZADA,VÁRZEA,AV CAXANGA,,,"AO LADO DA UPA, NO SENTIDO CIDADE",VÁRZEA,,,COLISÃO LATERAL,1,1,0,0,0,1,0,0,0,1,0,Ponte,Chuvoso,Não existe,Perfeito estado,Molhada,Perfeito estado,Não existe,Não há placas,60 km/h,Única,Faixa seccionada,,
202203488,2022-02-17,,COM VÍTIMA,FINALIZADA,CAMPO GRANDE,RUA MARQUES DE BAIPENDI,295,RUA CONEGO JOAO PEDROZA,UNIÃO BEBIDAS,CAMPO GRANDE,,SUBURBIO,COLISÃO TRANSVERSAL,1,1,0,0,0,0,0,0,0,1,0,Cruzamento,Bom,Não existe,Perfeito estado,Molhada,Perfeito estado,Não existe,Outras,,Dupla,Faixa contínua,Faixa seccionada,
202203493,2022-02-17,,SEM VÍTIMA,FINALIZADA,ESPINHEIRO,AV GOVERNADOR AGAMENON MAGALHAES,,,SEMÁFORO 108,ESPINHEIRO,108,,COLISÃO TRASEIRA,1,0,0,0,0,0,0,2,0,0,0,Longo da via,Nublado,Sem defeito,Perfeito estado,Molhada,Perfeito estado,Faixa de pedestre,Não há placas,60 km/h,Dupla,Faixa contínua,Canteiro central,Canal
202203524,2022-02-17,,COM VÍTIMA,FINALIZADA,SANTO AMARO,AV GOVERNADOR AGAMENON MAGALHAES,,,SOB O VIADUTO DA AV NORTE,SANTO AMARO,684,OLINDA,COLISÃO COM CICLISTA,1,0,0,1,0,0,0,0,0,1,0,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Não há placas,60 km/h,Dupla,Faixa contínua,Canal,
202203527,2022-02-17,,COM VÍTIMA,FINALIZADA,SANTO AMARO,AV PREFEITO ARTUR LIMA CAVALCANTI,80,,PROX A MARINHA BEIRA CANAL,SANTO AMARO,,SUBURBIO,QUEDA,0,1,0,0,0,0,0,0,0,1,0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Não há placas,,Dupla,Canteiro central,,
202203536,2022-02-17,,COM VÍTIMA,FINALIZADA,PINA,AV ANTONIO DE GOES,109,,,PINA,,CIDADE,COLISÃO TRANSVERSAL,1,1,0,0,0,0,0,0,0,1,0,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Não existe,Outras,60 km/h,Única,Faixa seccionada,,
202203545,2022-02-17,,SEM VÍTIMA,FINALIZADA,ALTO SANTA TERESINHA,RUA TAMBOARA,583,,,ALTO SANTA TERESINHA,,SUBURBIO,COLISÃO FRONTAL,0,1,0,0,0,0,0,1,0,0,0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Não há placas,,Dupla,Faixa contínua,Faixa seccionada,
202203548,2022-02-17,,SEM VÍTIMA,FINALIZADA,BOA VIAGEM,AV CONSELHEIRO AGUIAR,,,PRÓXIMO AO BOMBREÇO,BOA VIAGEM,,,COLISÃO LATERAL,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
202203568,2022-02-18,,COM VÍTIMA,FINALIZADA,IMBIRIBEIRA,AV MARECHAL MASCARENHAS DE MORAES,4773,,EM FRENTE AO MARTELINHO. APÓS A FACULDADE PERNAMBUCANA DE SAÚDE,IMBIRIBEIRA,,CIDADE,QUEDA,0,1,0,0,0,0,0,0,0,1,0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,,60 km/h,Dupla,Faixa seccionada,,
202203571,2022-02-17,,COM VÍTIMA,FINALIZADA,DERBY,AV GOVERNADOR AGAMENON MAGALHAES,,,EM FRENTE À FACE IMAGEM,DERBY,,SUBURBIO,COLISÃO TRASEIRA,1,1,0,0,0,0,0,0,0,1,0,Longo da via,Chuvoso,Sem defeito,Perfeito estado,Molhada,Perfeito estado,Outros,Outras,,Única,Faixa seccionada,,
202203598,2022-02-18,,COM VÍTIMA,CANCELADA,IMBIRIBEIRA,RUA LE PARC,100,,EM FRENTE AO LE  PARC,IMBIRIBEIRA,,,COLISÃO TRASEIRA,1,1,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,
202203618,2022-02-18,,COM VÍTIMA,FINALIZADA,MANGUEIRA,RUA DR JOAO ELISIO,298,RUA MANDARI,EM FRENTE À PADARIA E MERCADINHO SANTO ANTÔNIO,MANGUEIRA,,SUBURBIO,COLISÃO FRONTAL,1,1,0,0,0,0,0,0,0,1,0,Esquina,Bom,Não existe,Incompleta,Seca,Perfeito estado,Não existe,Não há placas,,Dupla,Não existe,,
202203625,2022-02-18,,COM VÍTIMA,CANCELADA,PINA,AV HERCULANO BANDEIRA,,,E/F AO ATACADO DA CONTRUÇAÕ,PINA,,,COLISÃO TRASEIRA,1,1,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,
202203653,2022-02-18,,COM VÍTIMA,FINALIZADA,IBURA,AV DOIS RIOS,939,,"PRÓX A FARMACIA  INDEPENDENTE , SNT SUB-CID / SEMÁFORO 485",IBURA,,CIDADE,COLISÃO TRASEIRA,1,1,0,0,0,0,0,0,0,1,0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Não há placas,,Dupla,Faixa contínua,,
202203655,2022-02-18,,COM VÍTIMA,FINALIZADA,BEBERIBE,AV BEBERIBE,4340,,E/F A IGREJA BATISTA AGAPE,BEBERIBE,,CIDADE,CHOQUE,2,1,0,0,0,0,0,0,0,1,0,Longo da via,Chuvoso,Não existe,Perfeito estado,,Perfeito estado,Não existe,Não há placas,,Dupla,Faixa seccionada,,
202203664,2022-02-19,,COM VÍTIMA,FINALIZADA,AFOGADOS,RUA NICOLAU PEREIRA,,,PROXIMO À ESTAÇÃO DO METRÔ,AFOGADOS,,SUBURBIO,COLISÃO COM CICLISTA,1,0,0,1,0,0,0,0,0,1,0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,R-6a,,Única,Faixa seccionada,,
202203681,2022-02-19,,COM VÍTIMA,FINALIZADA,SAN MARTIN,AV GENERAL SAN MARTIN,,,LADO OPOSTO AO NOVO ATACAREJO,SAN MARTIN,58,SUBURBIO,QUEDA,0,0,0,1,0,0,0,0,0,1,0,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de retenção,Não há placas,,Dupla,Faixa contínua,,
202203706,2022-02-19,,COM VÍTIMA,FINALIZADA,VÁRZEA,AV CAXANGA,5759,,LADO OPOSTO AO TERMINAL DE ONIBUS DA CAXANGA,VÁRZEA,262,CIDADE,COLISÃO TRASEIRA,1,1,0,0,0,0,0,0,0,1,0,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,R-6a,60 km/h,Dupla,Faixa contínua,Canteiro central,Faixa seccionada
202203716,2022-02-19,,COM VÍTIMA,FINALIZADA,SANTO AMARO,AV GOVERNADOR AGAMENON MAGALHAES,,PTE RAIMUNDO FARIAS,PRAÇA PARQUE AMORIM,SANTO AMARO,37,SUBURBIO,COLISÃO TRANSVERSAL,1,1,0,0,0,0,0,0,0,1,0,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Agente,,60 km/h,Única,Faixa seccionada,,
202203717,2022-02-19,,COM VÍTIMA,FINALIZADA,TEJIPIÓ,RUA FALCAO DE LACERDA,101,,PROX A ESTACAO TEJIPIO / ASSEMBLEIA DE DEUS,TEJIPIÓ,,CIDADE,COLISÃO LATERAL,1,1,0,0,0,0,0,0,0,1,0,Longo da via,Bom,Não existe,Incompleta,Seca,Perfeito estado,Não existe,Não há placas,,Dupla,Não existe,,
202203730,2022-02-19,,COM VÍTIMA,FINALIZADA,PINA,AV CONSELHEIRO AGUIAR,479,,SANTORINI BAR CLUB,PINA,,CIDADE,COLISÃO LATERAL,1,1,0,0,0,0,0,0,0,2,0,Longo da via,Chuvoso,Não existe,Perfeito estado,Molhada,Perfeito estado,Não existe,Não há placas,,Única,Faixa seccionada,,
202203738,2022-02-20,,COM VÍTIMA,FINALIZADA,ESPINHEIRO,RUA DO ESPINHEIRO,,RUA QUARENTA E OITO,CRUZAMENTO,ESPINHEIRO,166,CIDADE,COLISÃO TRANSVERSAL,1,1,0,0,0,0,0,0,0,1,0,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Não há placas,,Única,Faixa contínua,Faixa seccionada,
202203741,2022-02-20,,COM VÍTIMA,CANCELADA,SANTO AMARO,AV GOVERNADOR AGAMENON MAGALHAES,,AV DR JAYME DA FONTE,AO LADO DO CAMPO DO ONZE,SANTO AMARO,,,COLISÃO LATERAL,1,1,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,
